COMPANY_ID,AVG_USD_AMT_ALL_MAKE,AVG_REVENUE_USD_AMT_ALL_MAKE,AVG_NET_REVENUE_USD_AMT_ALL_MAKE,FREQ_ACTIVE_MAKE,PAYTYPE_COUNT_ALL_MAKE,SUPPLIER_PAYMENT_PERCENT_MAKE,RENT_PAYMENT_PERCENT_MAKE,PAYROLL_PAYMENT_PERCENT_MAKE,MONTHS_SINCE_FIRST_PAYMENT_ALL_MAKE,MONTHS_SINCE_LAST_PAYMENT_ALL_MAKE,RSD_PERCENTAGE_MAKE,USE_COLLECT,ENTITY_NAME,AVG_USD_AMT_ALL_COLLECT,AVG_REVENUE_USD_AMT_ALL_COLLECT,AVG_NET_REVENUE_USD_AMT_ALL_COLLECT,FREQ_ACTIVE_COLLECT,PAYTYPE_COUNT_ALL_COLLECT,SUPPLIER_PAYMENT_PERCENT_COLLECT,RENT_PAYMENT_PERCENT_COLLECT,PAYROLL_PAYMENT_PERCENT_COLLECT,MONTHS_SINCE_FIRST_PAYMENT_ALL_COLLECT,MONTHS_SINCE_LAST_PAYMENT_ALL_COLLECT,CU_COMPANY_L2_INDUSTRY_NUMERIC,Combined_Cluster
3035,5360.335200000000,95.950000080000,57.645938130000,1.000000,1.0,0.000000,1.000000,0.000000,19.0,19.0,0.9555958151429195,0,SOCIALLY FIT LIMITED LIABILITY PARTNERSHIP,,,,,,,,,,,2,lapsed_0
4460,8000.920695166667,141.285531361333,36.176306672000,3.750000,4.0,0.133333,0.133333,0.666667,3.0,0.0,0.21379874190105153,0,ICFO ADVISORS PTE. LTD.,,,,,,,,,,,4,active_2
2056,,,,,,,,,,,0.9555958151429195,1,BLOOM CHILD PSYCHOLOGY PTE. LTD.,625.614399575000,16.175928202500,-0.856164650000,0.714286,1.0,1.000000,0.000000,0.000000,34.0,7.0,10,
3040,6964.593225806452,123.607120254839,30.717218343226,1.550000,1.0,0.000000,1.000000,0.000000,19.0,0.0,0.30296341999620907,0,PILADAY PTE. LTD.,,,,,,,,,,,2,active_0
3419,3327.555887693613,56.624208287935,15.480225378839,10.333333,3.0,0.832258,0.032258,0.135484,14.0,0.0,0.6457041849459217,0,335 GROUP PTE. LTD.,,,,,,,,,,,4,active_1
1770,,,,,,,,,,,0.9555958151429195,1,ADVANTAGE CORP SERVICES PTE. LTD.,423.294477706897,5.135961015862,0.699564818966,1.487179,1.0,1.000000,0.000000,0.000000,38.0,0.0,4,
2902,690.887648000000,13.886110770000,-1.899805670000,1.000000,1.0,0.000000,1.000000,0.000000,21.0,0.0,0.21265844020246552,0,SG EQUITY AND MANAGEMENT,,,,,,,,,,,4,active_0
4165,973.794228000000,17.428534310000,-4.898750780000,1.250000,1.0,0.000000,1.000000,0.000000,4.0,1.0,0.4,0,PERFORMANCE NUTRITION PTE. LTD.,,,,,,,,,,,4,active_0
3832,3378.485268180000,47.297513230000,-38.348731410000,1.000000,1.0,0.000000,0.000000,0.000000,9.0,9.0,0.9555958151429195,0,ALPHA VENTURE PARTNERS PTE. LTD.,,,,,,,,,,,4,active_3
4025,5998.955200441176,107.895577142941,28.384376278824,1.888889,1.0,1.000000,0.000000,0.000000,8.0,0.0,0.5769891520570088,0,ASPEN CONSULTANCY PTE. LTD.,,,,,,,,,,,4,active_1
4392,22195.480403360000,397.297622150000,101.213551450000,1.000000,1.0,0.000000,1.000000,0.000000,3.0,3.0,0.9555958151429195,0,,,,,,,,,,,,2,active_0
3771,3164.086750000000,0E-12,-79.109613660000,1.000000,1.0,0.000000,0.000000,0.000000,10.0,10.0,0.9555958151429195,0,SEVENTYNINE SERVICES PTE. LTD.,,,,,,,,,,,4,active_3
3462,36474.238321198333,1000.816149254167,96.386768133333,0.857143,4.0,0.000000,0.166667,0.166667,13.0,0.0,2.5145444319110255,0,LEE AH MOOI OLD AGE HOME,,,,,,,,,,,2,active_3
3674,29222.872405650000,635.194757926667,180.362871296667,1.000000,1.0,1.000000,0.000000,0.000000,7.0,5.0,0.08759233226438716,0,HASHMETA PTE. LTD.,,,,,,,,,,,12,active_1
1455,12760.575740000000,174.672478420000,12.593065265000,0.500000,2.0,0.000000,0.500000,0.500000,47.0,44.0,0.9555958151429195,0,CAP ADVISORY GROUP PTE. LTD.,,,,,,,,,,,4,lapsed_3
1488,,,,,,,,,,,0.9555958151429195,1,YOUPRINT LLP,212.691282765789,0.518009001053,-0.422106805132,1.809524,1.0,1.000000,0.000000,0.000000,41.0,0.0,9,
1026,20306.933546408837,320.261242787558,3.265631859651,2.388889,3.0,0.837209,0.069767,0.093023,58.0,23.0,0.46522512679993816,1,CROWD PTE. LTD.,11167.365000000000,0E-12,-187.730850560000,1.000000,1.0,1.000000,0.000000,0.000000,41.0,41.0,4,lapsed_1
3232,4716.730175410000,76.971860931429,14.881311531429,1.000000,1.0,0.000000,0.000000,1.000000,16.0,10.0,1.1153253406686003,0,MCITS TECHNOLOGIES PTE. LTD.,,,,,,,,,,,4,active_2
4210,16565.027117512500,241.601754013125,43.394984469375,2.285714,3.0,0.125000,0.375000,0.500000,6.0,0.0,0.11492553819376541,0,BUGLEROCK HOLDINGS PTE. LTD.,,,,,,,,,,,4,active_2
223,3015.016696660833,60.154252390833,0.749144068750,0.387097,4.0,0.083333,0.541667,0.250000,61.0,0.0,1.1603812003522227,1,LINKFLOW CAPITAL PTE. LTD.,5342.041992571429,126.449669232857,19.660943751429,0.212121,1.0,1.000000,0.000000,0.000000,34.0,2.0,4,active_0
1542,927.013391524000,17.553608798000,2.005658754000,0.714286,2.0,0.600000,0.400000,0.000000,41.0,35.0,1.7807406805498824,0,MULTISPORTS OPTIMAL TRAINING PTE. LTD.,,,,,,,,,,,10,lapsed_1
