PRIMARY_SSIC_DESCRIPTION,PREDICTED_L1,CONFIDENCE
RENTING OF CONSTRUCTION AND CIVIL ENGINEERING MACHINERY AND EQUIPMENT,Business Supplies & Equipment,0.5623660683631897
ROAD AND RAILWAY CONSTRUCTION,Construction,0.6254183053970337
RENTING OF WATER TRANSPORT EQUIPMENT WITHOUT OPERATOR (EG COMMERCIAL BOATS AND SHIPS WITHOUT OPERATOR),Business Supplies & Equipment,0.44503432512283325
MANUFACTURE OF LEADFRAME,Building Materials,0.36915892362594604
MANUFACTURE OF CATALYSTS AND CATALYST REGENERATION,Mining & Metals,0.3068605661392212
"SOCIAL SERVICES FOR CHILDREN AND YOUTHS (EG YOUTH OUTREACH SERVICES, ADOPTION SERVICES)",Individual & Family Services,0.6311569809913635
ASSEMBLY AND TESTING OF SEMICONDUCTORS,Semiconductors,0.6501550674438477
SCHOOLS FOR SPECIAL NEEDS,Primary/Secondary Education,0.4681759476661682
RESEARCH AND EXPERIMENTAL DEVELOPMENT ON ENVIRONMENT AND CLEAN TECHNOLOGIES (EXCLUDING BIOTECHNOLOGY),Renewables & Environment,0.5217641592025757
FURNITURE DESIGN SERVICES,Furniture,0.5821166634559631
"MANUFACTURE AND REPAIR OF RAILWAY AND TRAMWAY LOCOMOTIVES AND ROLLING STOCK (INCLUDING SPECIALISED PARTS EXCEPT ENGINES, ELECTRIC MOTORS AND SIGNALLING EQUIPMENT)",Transportation/Trucking/Railroad,0.5437483787536621
LAYER FARMS (CHICKENS REARED FOR EGGS),Food Production,0.453510046005249
MANUFACTURE AND REPAIR OF LIFTS AND ESCALATORS,Construction,0.4553311765193939
PRIVATE DEBT FUNDS,Venture Capital & Private Equity,0.543017566204071
"WHOLESALE OF AUDIO AND VIDEO EQUIPMENT EXCEPT ELECTRICAL AND ELECTRONIC COMPONENTS (EG RADIO AND TELEVISION SETS, SOUND REPRODUCING AND RECORDING EQUIPMENT)",Wholesale,0.5993549823760986
WHOLESALE OF OTHER MACHINERY AND EQUIPMENT N.E.C.,Business Supplies & Equipment,0.6752595901489258
WHOLESALE OF CONFECTIONERY AND BAKERY PRODUCTS,Wholesale,0.704135537147522
LEGAL ACTIVITIES (EXCLUDING ONLINE MARKETPLACES),Law Practice,0.43717116117477417
INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),Management Consulting,0.5669208765029907
"BUILDING AND REPAIRING OF SHIPS, TANKERS AND OTHER OCEAN-GOING VESSELS (INCLUDING CONVERSION OF SHIPS INTO OFF-SHORE STRUCTURES)",Shipbuilding,0.7185925245285034
